,Acc,Data,Model,Rank,Split,Time
0,0.8333333333333334,Data,LSE,0.0,0.0,0.0
1,0.8611111111111112,Data,RM,1.0,0.0,0.0010001659393310547
2,0.7777777777777778,Data,TER,1.0,0.0,0.00099945068359375
3,0.875,Data,LSE,0.0,1.0,0.0
4,0.90625,Data,RM,1.0,1.0,0.0010001659393310547
5,0.8125,Data,TER,1.0,1.0,0.0009999275207519531
6,0.7407407407407407,Data,LSE,0.0,2.0,0.0
7,0.7407407407407407,Data,RM,1.0,2.0,0.0009996891021728516
8,0.7407407407407407,Data,TER,1.0,2.0,0.001999378204345703
9,0.72,Data,LSE,0.0,3.0,0.0
10,0.72,Data,RM,1.0,3.0,0.0019998550415039062
11,0.76,Data,TER,1.0,3.0,0.0009989738464355469
12,0.92,Data,LSE,0.0,4.0,0.0
13,0.96,Data,RM,1.0,4.0,0.00099945068359375
14,0.88,Data,TER,1.0,4.0,0.0019991397857666016
